work_id,expert_id,criterion,score
image01,E1,C1,7
image01,E1,C2,5
image01,E1,C3,7
image01,E1,C4,7
image01,E1,C5,6
image02,E1,C1,7
image02,E1,C2,4
image02,E1,C3,5
image02,E1,C4,7
image02,E1,C5,5
image03,E1,C1,7
image03,E1,C2,5
image03,E1,C3,6
image03,E1,C4,7
image03,E1,C5,6
image04,E1,C1,6
image04,E1,C2,5
image04,E1,C3,6
image04,E1,C4,7
image04,E1,C5,6
image05,E1,C1,7
image05,E1,C2,6
image05,E1,C3,6
image05,E1,C4,6
image05,E1,C5,7
image06,E1,C1,6
image06,E1,C2,6
image06,E1,C3,6
image06,E1,C4,6
image06,E1,C5,5
image07,E1,C1,5
image07,E1,C2,5
image07,E1,C3,5
image07,E1,C4,4
image07,E1,C5,5
image08,E1,C1,6
image08,E1,C2,7
image08,E1,C3,5
image08,E1,C4,6
image08,E1,C5,6
image09,E1,C1,6
image09,E1,C2,5
image09,E1,C3,6
image09,E1,C4,6
image09,E1,C5,5
image10,E1,C1,5
image10,E1,C2,5
image10,E1,C3,5
image10,E1,C4,4
image10,E1,C5,5
image11,E1,C1,4
image11,E1,C2,4
image11,E1,C3,5
image11,E1,C4,4
image11,E1,C5,4
image12,E1,C1,4
image12,E1,C2,4
image12,E1,C3,5
image12,E1,C4,4
image12,E1,C5,4
image13,E1,C1,5
image13,E1,C2,5
image13,E1,C3,5
image13,E1,C4,5
image13,E1,C5,5
image14,E1,C1,6
image14,E1,C2,6
image14,E1,C3,5
image14,E1,C4,6
image14,E1,C5,6
image15,E1,C1,5
image15,E1,C2,5
image15,E1,C3,5
image15,E1,C4,5
image15,E1,C5,6
image16,E1,C1,4
image16,E1,C2,5
image16,E1,C3,5
image16,E1,C4,4
image16,E1,C5,4
image17,E1,C1,4
image17,E1,C2,4
image17,E1,C3,6
image17,E1,C4,6
image17,E1,C5,4
image18,E1,C1,6
image18,E1,C2,5
image18,E1,C3,4
image18,E1,C4,6
image18,E1,C5,6
image19,E1,C1,5
image19,E1,C2,6
image19,E1,C3,5
image19,E1,C4,5
image19,E1,C5,5
image20,E1,C1,5
image20,E1,C2,4
image20,E1,C3,4
image20,E1,C4,5
image20,E1,C5,4
image21,E1,C1,6
image21,E1,C2,5
image21,E1,C3,6
image21,E1,C4,6
image21,E1,C5,6
image22,E1,C1,6
image22,E1,C2,6
image22,E1,C3,6
image22,E1,C4,6
image22,E1,C5,6
image23,E1,C1,7
image23,E1,C2,7
image23,E1,C3,7
image23,E1,C4,7
image23,E1,C5,7
image24,E1,C1,6
image24,E1,C2,5
image24,E1,C3,5
image24,E1,C4,6
image24,E1,C5,6
image25,E1,C1,5
image25,E1,C2,5
image25,E1,C3,5
image25,E1,C4,5
image25,E1,C5,5
image26,E1,C1,5
image26,E1,C2,4
image26,E1,C3,4
image26,E1,C4,5
image26,E1,C5,4
image27,E1,C1,5
image27,E1,C2,5
image27,E1,C3,4
image27,E1,C4,5
image27,E1,C5,5
image28,E1,C1,6
image28,E1,C2,5
image28,E1,C3,6
image28,E1,C4,6
image28,E1,C5,6
image29,E1,C1,6
image29,E1,C2,7
image29,E1,C3,6
image29,E1,C4,7
image29,E1,C5,7
image30,E1,C1,6
image30,E1,C2,7
image30,E1,C3,7
image30,E1,C4,6
image30,E1,C5,7
image31,E1,C1,4
image31,E1,C2,4
image31,E1,C3,4
image31,E1,C4,4
image31,E1,C5,4
image32,E1,C1,5
image32,E1,C2,4
image32,E1,C3,5
image32,E1,C4,4
image32,E1,C5,4
image33,E1,C1,4
image33,E1,C2,4
image33,E1,C3,4
image33,E1,C4,4
image33,E1,C5,4
image34,E1,C1,4
image34,E1,C2,4
image34,E1,C3,5
image34,E1,C4,4
image34,E1,C5,4
image35,E1,C1,4
image35,E1,C2,4
image35,E1,C3,4
image35,E1,C4,4
image35,E1,C5,4
image36,E1,C1,4
image36,E1,C2,4
image36,E1,C3,4
image36,E1,C4,4
image36,E1,C5,4
image37,E1,C1,4
image37,E1,C2,4
image37,E1,C3,5
image37,E1,C4,5
image37,E1,C5,4
image38,E1,C1,4
image38,E1,C2,3
image38,E1,C3,3
image38,E1,C4,3
image38,E1,C5,4
image39,E1,C1,6
image39,E1,C2,5
image39,E1,C3,5
image39,E1,C4,6
image39,E1,C5,6
image40,E1,C1,4
image40,E1,C2,4
image40,E1,C3,4
image40,E1,C4,4
image40,E1,C5,4
image41,E1,C1,5
image41,E1,C2,5
image41,E1,C3,4
image41,E1,C4,5
image41,E1,C5,5
image42,E1,C1,6
image42,E1,C2,5
image42,E1,C3,7
image42,E1,C4,7
image42,E1,C5,6
image43,E1,C1,6
image43,E1,C2,6
image43,E1,C3,7
image43,E1,C4,6
image43,E1,C5,6
image44,E1,C1,6
image44,E1,C2,6
image44,E1,C3,6
image44,E1,C4,7
image44,E1,C5,7
image45,E1,C1,5
image45,E1,C2,6
image45,E1,C3,5
image45,E1,C4,5
image45,E1,C5,5
image46,E1,C1,6
image46,E1,C2,6
image46,E1,C3,6
image46,E1,C4,6
image46,E1,C5,5
image47,E1,C1,6
image47,E1,C2,6
image47,E1,C3,6
image47,E1,C4,6
image47,E1,C5,6
image48,E1,C1,5
image48,E1,C2,4
image48,E1,C3,5
image48,E1,C4,5
image48,E1,C5,4
image49,E1,C1,6
image49,E1,C2,4
image49,E1,C3,5
image49,E1,C4,6
image49,E1,C5,6
image50,E1,C1,6
image50,E1,C2,6
image50,E1,C3,6
image50,E1,C4,6
image50,E1,C5,6
image01,E2,C1,6
image01,E2,C2,5
image01,E2,C3,4
image01,E2,C4,5
image01,E2,C5,3
image02,E2,C1,5
image02,E2,C2,6
image02,E2,C3,5
image02,E2,C4,5
image02,E2,C5,5
image03,E2,C1,6
image03,E2,C2,5
image03,E2,C3,7
image03,E2,C4,4
image03,E2,C5,6
image04,E2,C1,4
image04,E2,C2,5
image04,E2,C3,7
image04,E2,C4,5
image04,E2,C5,5.5
image05,E2,C1,3
image05,E2,C2,5
image05,E2,C3,5
image05,E2,C4,7
image05,E2,C5,5
image06,E2,C1,5
image06,E2,C2,4
image06,E2,C3,5
image06,E2,C4,6
image06,E2,C5,5.5
image07,E2,C1,4
image07,E2,C2,3
image07,E2,C3,4
image07,E2,C4,5
image07,E2,C5,4
image08,E2,C1,4
image08,E2,C2,3
image08,E2,C3,4
image08,E2,C4,3
image08,E2,C5,3
image09,E2,C1,4
image09,E2,C2,4
image09,E2,C3,4
image09,E2,C4,6
image09,E2,C5,4.5
image10,E2,C1,6
image10,E2,C2,3
image10,E2,C3,5
image10,E2,C4,5
image10,E2,C5,5
image11,E2,C1,5
image11,E2,C2,5
image11,E2,C3,5
image11,E2,C4,5
image11,E2,C5,5
image12,E2,C1,4
image12,E2,C2,3
image12,E2,C3,2
image12,E2,C4,4
image12,E2,C5,3
image13,E2,C1,3
image13,E2,C2,2
image13,E2,C3,3
image13,E2,C4,2
image13,E2,C5,2
image14,E2,C1,3
image14,E2,C2,2
image14,E2,C3,5
image14,E2,C4,5
image14,E2,C5,3.5
image15,E2,C1,3
image15,E2,C2,3.5
image15,E2,C3,5
image15,E2,C4,6
image15,E2,C5,4
image16,E2,C1,1
image16,E2,C2,2
image16,E2,C3,1
image16,E2,C4,3
image16,E2,C5,2
image17,E2,C1,3
image17,E2,C2,1
image17,E2,C3,1
image17,E2,C4,3
image17,E2,C5,2.5
image18,E2,C1,3
image18,E2,C2,2
image18,E2,C3,2
image18,E2,C4,3.5
image18,E2,C5,3
image19,E2,C1,1
image19,E2,C2,1
image19,E2,C3,1
image19,E2,C4,1
image19,E2,C5,1
image20,E2,C1,5
image20,E2,C2,6
image20,E2,C3,5
image20,E2,C4,6
image20,E2,C5,6
image21,E2,C1,2
image21,E2,C2,2.5
image21,E2,C3,3
image21,E2,C4,2
image21,E2,C5,3
image22,E2,C1,2
image22,E2,C2,3
image22,E2,C3,2
image22,E2,C4,2
image22,E2,C5,2
image23,E2,C1,3
image23,E2,C2,1
image23,E2,C3,2
image23,E2,C4,2
image23,E2,C5,1
image24,E2,C1,5
image24,E2,C2,4
image24,E2,C3,6
image24,E2,C4,6
image24,E2,C5,5
image25,E2,C1,4
image25,E2,C2,1
image25,E2,C3,2
image25,E2,C4,4
image25,E2,C5,4
image26,E2,C1,3
image26,E2,C2,2
image26,E2,C3,1
image26,E2,C4,2
image26,E2,C5,3
image27,E2,C1,3
image27,E2,C2,3
image27,E2,C3,1
image27,E2,C4,2
image27,E2,C5,1
image28,E2,C1,3
image28,E2,C2,1
image28,E2,C3,4
image28,E2,C4,5
image28,E2,C5,4
image29,E2,C1,2
image29,E2,C2,5
image29,E2,C3,6
image29,E2,C4,6
image29,E2,C5,5
image30,E2,C1,6
image30,E2,C2,4
image30,E2,C3,5
image30,E2,C4,6
image30,E2,C5,5
image31,E2,C1,6
image31,E2,C2,5
image31,E2,C3,6
image31,E2,C4,7
image31,E2,C5,5
image32,E2,C1,2
image32,E2,C2,1
image32,E2,C3,3
image32,E2,C4,3
image32,E2,C5,3
image33,E2,C1,2
image33,E2,C2,1
image33,E2,C3,4
image33,E2,C4,3
image33,E2,C5,3.5
image34,E2,C1,2
image34,E2,C2,1
image34,E2,C3,2
image34,E2,C4,1
image34,E2,C5,1.5
image35,E2,C1,5
image35,E2,C2,7
image35,E2,C3,5
image35,E2,C4,5
image35,E2,C5,6
image36,E2,C1,2
image36,E2,C2,1
image36,E2,C3,2
image36,E2,C4,2
image36,E2,C5,3
image37,E2,C1,2
image37,E2,C2,1
image37,E2,C3,2
image37,E2,C4,1
image37,E2,C5,3
image38,E2,C1,1
image38,E2,C2,3
image38,E2,C3,1
image38,E2,C4,2
image38,E2,C5,1
image39,E2,C1,5
image39,E2,C2,5
image39,E2,C3,4
image39,E2,C4,5
image39,E2,C5,4
image40,E2,C1,7
image40,E2,C2,4
image40,E2,C3,7
image40,E2,C4,7
image40,E2,C5,6.5
image41,E2,C1,7
image41,E2,C2,6
image41,E2,C3,6
image41,E2,C4,5
image41,E2,C5,6
image42,E2,C1,6
image42,E2,C2,3
image42,E2,C3,5
image42,E2,C4,5
image42,E2,C5,5
image43,E2,C1,6
image43,E2,C2,5
image43,E2,C3,6
image43,E2,C4,5
image43,E2,C5,5.5
image44,E2,C1,4
image44,E2,C2,2
image44,E2,C3,2
image44,E2,C4,3
image44,E2,C5,3.5
image45,E2,C1,2
image45,E2,C2,1
image45,E2,C3,1
image45,E2,C4,4
image45,E2,C5,2
image46,E2,C1,6
image46,E2,C2,5
image46,E2,C3,5
image46,E2,C4,3
image46,E2,C5,5
image47,E2,C1,6
image47,E2,C2,2
image47,E2,C3,5
image47,E2,C4,6
image47,E2,C5,5.5
image48,E2,C1,4
image48,E2,C2,3
image48,E2,C3,2
image48,E2,C4,3
image48,E2,C5,3
image49,E2,C1,6
image49,E2,C2,2
image49,E2,C3,5
image49,E2,C4,2
image49,E2,C5,3
image50,E2,C1,6
image50,E2,C2,7
image50,E2,C3,5
image50,E2,C4,5
image50,E2,C5,6
image01,E3,C1,3
image01,E3,C2,2
image01,E3,C3,3
image01,E3,C4,4
image01,E3,C5,3
image02,E3,C1,2
image02,E3,C2,2
image02,E3,C3,2
image02,E3,C4,3
image02,E3,C5,2
image03,E3,C1,4
image03,E3,C2,3
image03,E3,C3,5
image03,E3,C4,5
image03,E3,C5,5
image04,E3,C1,4
image04,E3,C2,3
image04,E3,C3,3
image04,E3,C4,4
image04,E3,C5,4
image05,E3,C1,4
image05,E3,C2,5
image05,E3,C3,6
image05,E3,C4,6
image05,E3,C5,6
image06,E3,C1,4
image06,E3,C2,4
image06,E3,C3,4
image06,E3,C4,6
image06,E3,C5,6
image07,E3,C1,4
image07,E3,C2,4
image07,E3,C3,4
image07,E3,C4,5
image07,E3,C5,6
image08,E3,C1,3
image08,E3,C2,3
image08,E3,C3,4
image08,E3,C4,4
image08,E3,C5,4
image09,E3,C1,4
image09,E3,C2,3
image09,E3,C3,3
image09,E3,C4,3
image09,E3,C5,4
image10,E3,C1,3
image10,E3,C2,3
image10,E3,C3,4
image10,E3,C4,4
image10,E3,C5,3
image11,E3,C1,4
image11,E3,C2,5
image11,E3,C3,5
image11,E3,C4,5
image11,E3,C5,5
image12,E3,C1,4
image12,E3,C2,5
image12,E3,C3,6
image12,E3,C4,6
image12,E3,C5,6
image13,E3,C1,3
image13,E3,C2,4
image13,E3,C3,4
image13,E3,C4,4
image13,E3,C5,4
image14,E3,C1,4
image14,E3,C2,5
image14,E3,C3,5
image14,E3,C4,6
image14,E3,C5,6
image15,E3,C1,5
image15,E3,C2,6
image15,E3,C3,7
image15,E3,C4,6
image15,E3,C5,7
image16,E3,C1,2
image16,E3,C2,3
image16,E3,C3,3
image16,E3,C4,3
image16,E3,C5,3
image17,E3,C1,2
image17,E3,C2,3
image17,E3,C3,5
image17,E3,C4,5
image17,E3,C5,5
image18,E3,C1,5
image18,E3,C2,5
image18,E3,C3,4
image18,E3,C4,6
image18,E3,C5,5
image19,E3,C1,2
image19,E3,C2,2
image19,E3,C3,3
image19,E3,C4,3
image19,E3,C5,3
image20,E3,C1,3
image20,E3,C2,3
image20,E3,C3,3
image20,E3,C4,4
image20,E3,C5,3
image21,E3,C1,3
image21,E3,C2,3
image21,E3,C3,6
image21,E3,C4,3
image21,E3,C5,3
image22,E3,C1,4
image22,E3,C2,4
image22,E3,C3,4
image22,E3,C4,4
image22,E3,C5,4
image23,E3,C1,3
image23,E3,C2,4
image23,E3,C3,6
image23,E3,C4,6
image23,E3,C5,6
image24,E3,C1,3
image24,E3,C2,3
image24,E3,C3,3
image24,E3,C4,3
image24,E3,C5,4
image25,E3,C1,5
image25,E3,C2,6
image25,E3,C3,7
image25,E3,C4,6
image25,E3,C5,7
image26,E3,C1,3
image26,E3,C2,3
image26,E3,C3,3
image26,E3,C4,4
image26,E3,C5,3
image27,E3,C1,3
image27,E3,C2,3
image27,E3,C3,4
image27,E3,C4,3
image27,E3,C5,3
image28,E3,C1,4
image28,E3,C2,5
image28,E3,C3,6
image28,E3,C4,6
image28,E3,C5,6
image29,E3,C1,6
image29,E3,C2,5
image29,E3,C3,5
image29,E3,C4,6
image29,E3,C5,6
image30,E3,C1,4
image30,E3,C2,5
image30,E3,C3,6
image30,E3,C4,5
image30,E3,C5,6
image31,E3,C1,2
image31,E3,C2,2
image31,E3,C3,2
image31,E3,C4,3
image31,E3,C5,2
image32,E3,C1,3
image32,E3,C2,3
image32,E3,C3,3
image32,E3,C4,4
image32,E3,C5,4
image33,E3,C1,3
image33,E3,C2,3
image33,E3,C3,3
image33,E3,C4,4
image33,E3,C5,4
image34,E3,C1,3
image34,E3,C2,3
image34,E3,C3,4
image34,E3,C4,3
image34,E3,C5,4
image35,E3,C1,4
image35,E3,C2,3
image35,E3,C3,3
image35,E3,C4,3
image35,E3,C5,3
image36,E3,C1,3
image36,E3,C2,3
image36,E3,C3,3
image36,E3,C4,3
image36,E3,C5,3
image37,E3,C1,3
image37,E3,C2,2
image37,E3,C3,2
image37,E3,C4,3
image37,E3,C5,3
image38,E3,C1,4
image38,E3,C2,4
image38,E3,C3,3
image38,E3,C4,3
image38,E3,C5,3
image39,E3,C1,6
image39,E3,C2,6
image39,E3,C3,6
image39,E3,C4,7
image39,E3,C5,6
image40,E3,C1,5
image40,E3,C2,5
image40,E3,C3,4
image40,E3,C4,5
image40,E3,C5,5
image41,E3,C1,4
image41,E3,C2,3
image41,E3,C3,4
image41,E3,C4,4
image41,E3,C5,5
image42,E3,C1,4
image42,E3,C2,5
image42,E3,C3,5
image42,E3,C4,5
image42,E3,C5,5
image43,E3,C1,5
image43,E3,C2,5
image43,E3,C3,5
image43,E3,C4,6
image43,E3,C5,6
image44,E3,C1,5
image44,E3,C2,5
image44,E3,C3,5
image44,E3,C4,6
image44,E3,C5,5
image45,E3,C1,2
image45,E3,C2,2
image45,E3,C3,3
image45,E3,C4,3
image45,E3,C5,2
image46,E3,C1,6
image46,E3,C2,6
image46,E3,C3,5
image46,E3,C4,6
image46,E3,C5,6
image47,E3,C1,5
image47,E3,C2,5
image47,E3,C3,6
image47,E3,C4,6
image47,E3,C5,5
image48,E3,C1,5
image48,E3,C2,5
image48,E3,C3,6
image48,E3,C4,5
image48,E3,C5,5
image49,E3,C1,5
image49,E3,C2,4
image49,E3,C3,5
image49,E3,C4,5
image49,E3,C5,6
image50,E3,C1,5
image50,E3,C2,5
image50,E3,C3,5
image50,E3,C4,6
image50,E3,C5,5
